순번,회사명,대표자명,지식산업센터명,공장대표주소,전화번호,팩스번호,최초설립승인일,설립승인일,최초공장등록일,공장등록일,공장용지면적(제곱미터),제조시설면적(제곱미터),부대시설면적(제곱미터),업종번호,업종명,용도지역
2558,(주)유한그린,류○○,해당없음,부산광역시 사상구 새벽로167번길 126 (감전동),051-314-9955,051-314-6699,2025-03-06,2025-03-06,2025-03-06,2025-03-06,936,507.6,507.6,"13229, 14192",기타 직물제품 제조업 외 1종,도시지역/공업지역/준공업지역
2559,(주)유환,이○○,해당없음,부산광역시 기장군 기장읍 차성서로 147,051-552-8863,051-552-8869,미등록,미등록,2015-07-13,2018-08-23,1475.9,486.21,1767.32,"29299, 26519, 28111, 28123, 28410, 28422, 28423, 28429, 29261",그 외 기타 특수목적용 기계 제조업 외 8종,도시지역/주거지역/제2종일반주거지역
2560,(주)윤일스틸,유○○,해당없음,부산광역시 강서구 미음산단4로 166 (미음동),051-831-0652,051-831-0655,2023-08-21,2023-08-21,2023-09-01,2023-09-01,0,1917.36,148.76,29119,기타 기관 및 터빈 제조업,도시지역/공업지역/일반공업지역
2561,(주)윤진환경,임○○,해당없음,"부산광역시 강서구 과학산단1로60번길 31, 시험생산동 1층 101,104호 (지사동)",051-974-9658,051-974-9059,2009-05-07,미등록,2009-05-14,2019-05-21,0,200,20.58,29176,액체 여과기 제조업,도시지역/공업지역/일반공업지역
2562,(주)윤진환경,임○○,(재)부산테크노파크 POST-BI 동,부산광역시 강서구 과학산단1로60번길 31 (지사동) 부산테크노파크,051-974-9658,미등록,2009-05-14,2009-05-14,2009-05-14,2009-05-14,0,84.66,317.37,"29299, 28909, 29176",그 외 기타 특수목적용 기계 제조업 외 2종,도시지역/공업지역/일반공업지역
2563,(주)윤진환경,임○○,해당없음,부산광역시 강서구 과학산단1로103번길 48(지사동),051-974-1255,051-974-1256,2021-11-17,2021-11-17,2021-11-17,2021-11-17,2066.1,1595.38,162.72,"28909, 29176, 29299",그 외 기타 전기장비 제조업 외 2종,도시지역/공업지역/일반공업지역
2564,(주)윤텍스타일,김○○,해당없음,부산광역시 사하구 신산로 13 (신평동),051-266-4770,051-266-4771,2018-10-11,미등록,2018-10-19,2018-10-19,0,3113.99,1794.82,13402,"직물, 편조원단 및 의복류 염색 가공업",도시지역/공업지역/일반공업지역
2565,(주)융이이앤씨,김○○,해당없음,부산광역시 강서구 화전산단5로98번길 35 (화전동),051-914-0255,051-914-0256,2020-04-20,미등록,2020-04-23,2022-01-10,0,225,0,25112,구조용 금속 판제품 및 공작물 제조업,도시지역/공업지역/일반공업지역
2566,(주)은경이엔지,전○○,해당없음,부산광역시 강서구 미음산단1로15번길 45 (구랑동),051-528-8201,051-528-8611,2010-03-22,2010-03-22,2018-11-05,2018-11-05,1825.1,520,231.4,"31114, 25122, 29169, 29172, 29173, 29174, 29176, 29199",선박 구성 부분품 제조업 외 7종,도시지역/공업지역/일반공업지역
2567,(주)은광유비텍,김○○○○○○○,해당없음,"부산광역시 수영구 망미배산로24번길 2, 2층 (망미동)",051-808-0011,051-818-2002,미등록,미등록,2021-06-08,2021-06-08,98.98,46,52.98,"26329, 26410, 26421, 26429, 26521, 26529",기타 주변기기 제조업 외 5종,도시지역/주거지역/제2종일반주거지역
2568,(주)은광이노텍,이○○,해당없음,부산광역시 강서구 미음산단3로 93 (미음동),051-941-2627,051-972-2627,2012-08-20,2012-08-20,2013-09-04,2013-09-04,3538,2401.25,1210.15,"29133, 24132, 24133, 25119","탭, 밸브 및 유사장치 제조업 외 3종",도시지역/공업지역/일반공업지역
2569,(주)은성,김○○○○○○,해당없음,부산광역시 강서구 녹산산업중로 399 (송정동),051-831-3350,051-831-3354,2000-11-10,미등록,2001-07-11,2025-05-12,1976.4,1835,405,24221,"동 압연, 압출 및 연신제품 제조업",도시지역/공업지역/일반공업지역
2570,(주)은성사,박○○,해당없음,부산광역시 사하구 다대로 342 (장림동) (총 3 필지),051-265-8611,051-264-7333,1998-01-01,1998-01-01,1995-08-26,1995-08-26,6875,2835.33,3526.78,33303,낚시 및 수렵용구 제조업,도시지역/공업지역/준공업지역
2571,(주)은성사,박○○,해당없음,부산광역시 사하구 다대로 344 (장림동) (총 3 필지),051-265-8611,051-264-7331,1998-01-01,1998-01-01,1995-04-03,1995-08-29,2916,1886.14,559.3,"33303, 22299, 25200",낚시 및 수렵용구 제조업 외 2종,도시지역/공업지역/준공업지역
2572,(주)은성정보통신 ,박○○○,해당없음,"부산광역시 동래구 온천천로531번길 72, 2층 (안락동, 할매식당)",051-912-8484,051-752-8485,미등록,미등록,2019-06-25,2025-03-18,90,82,8,"26410, 26329, 26421, 28122, 28123, 28423",유선 통신장비 제조업 외 5종,도시지역/주거지역/제2종일반주거지역
2573,(주)은성테크놀리지,양○○,해당없음,부산광역시 강서구 녹산산업대로 117-13 (송정동),051-973-2020,051-973-2012,2017-02-20,미등록,2017-02-22,2020-03-04,800,560,0,"30399, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 3종,도시지역/공업지역/일반공업지역
2574,(주)은성파워텍,이○○,해당없음,"부산광역시 사하구 을숙도대로 823, 1층 (구평동)",미등록,051-412-2464,미등록,미등록,2025-03-19,2025-03-19,1376,212,104.9,"28111, 25113, 25119",전동기 및 발전기 제조업 외 2종,도시지역/주거지역/제2종일반주거지역
2575,(주)은성파워텍,이○○,해당없음,부산광역시 사하구 감천항로419번길 46 (구평동),051-415-3900,070-8277-5008,미등록,미등록,2013-08-26,2016-03-10,0,114,232.04,"25119, 25113, 25114, 28111, 29261, 29299",기타 구조용 금속제품 제조업 외 5종,도시지역/공업지역/일반공업지역
2576,(주)은우기업,배○○,해당없음,부산광역시 강서구 평강로229번길 31 (대저1동),051-831-8987,051-831-8955,미등록,미등록,2026-04-06,2026-04-06,725,362.95,69.05,"25929, 25111, 25112, 25119",그 외 기타 금속가공업 외 3종,도시지역/주거지역/제1종일반주거지역
2577,(주)은하수산,이○○,해당없음,부산광역시 강서구 녹산산단381로 36 (송정동),051-831-1622,051-831-1633,2015-09-10,미등록,2015-10-15,2019-11-26,4965.1,2909.77,2756.1,"10211, 10212, 10213, 10219","수산동물 훈제, 조리 및 유사 조제식품 제조업 외 3종",도시지역/공업지역/일반공업지역
2578,(주)은하수산,이○○,해당없음,부산광역시 강서구 녹산산단381로 28(송정동),051-979-5953,051-831-1645,2021-04-13,2022-08-16,2022-08-16,2022-08-16,3303.3,5646.39,1687.38,"10219, 10211, 10212, 10213, 70112",기타 수산동물 가공 및 저장 처리업 외 4종,도시지역/공업지역/일반공업지역
2579,(주)은환산업,정○○,해당없음,부산광역시 기장군 일광면 일광로 705 ((주)은환산업),051-722-2852,051-722-2856,미등록,미등록,2013-09-13,2020-06-22,4090,481.29,9.9,22223,플라스틱 창호 제조업,도시지역/주거지역/제1종일반주거지역
2580,(주)이강공사,김○○,해당없음,부산광역시 영도구 남항서로 12 (남항동3가),051-413-8801,051-413-8881,미등록,미등록,1999-12-07,2002-11-21,710,468,243,"31114, 26410, 26429, 28123, 28302, 29111, 29120, 29132, 29169, 29177, 29223",선박 구성 부분품 제조업 외 10종,도시지역/공업지역/준공업지역
2581,(주)이공테크,유○○,해당없음,부산광역시 사상구 강변대로456번길 34-24 (엄궁동),052-258-0109,052-258-0212,미등록,미등록,2026-06-09,2026-06-09,500,66,33,25113,육상 금속 골조 구조재 제조업,도시지역/공업지역/준공업지역
2582,(주)이노그린테크,김○○,해당없음,"부산광역시 사상구 낙동대로1310번길 44, 1층 (삼락동)",031-637-6351,031-631-6353,미등록,미등록,2026-03-13,2026-03-13,450.9,165,33,29199,그 외 기타 일반목적용 기계 제조업,도시지역/공업지역/준공업지역
2583,(주)이노메트릭스,김○○,해당없음,부산광역시 강서구 지사글로벌3로 23 (지사동),051-622-1493,051-622-1494,2025-07-08,2026-03-09,2026-02-03,2026-03-09,2249.7,300,1012.71,"28903, 29180, 29199, 29299",교통 신호장치 제조업 외 3종,도시지역/공업지역/일반공업지역
2584,(주)이노센스,이○○,해당없음,부산광역시 강서구 미음국제7로가길 10 (미음동),055-714-7777,미등록,2020-10-20,2020-10-20,2020-10-23,2020-11-12,0,180,0,"20411, 20421, 20422, 20499, 21301",일반용 도료 및 관련제품 제조업 외 4종,도시지역/공업지역/일반공업지역
2585,(주)이노션테크(부산지점),홍○○,해당없음,부산광역시 사하구 다산로 202 (다대동),미등록,미등록,2024-08-06,2024-08-06,2024-08-13,2024-08-13,0,890,0,25923,도장 및 기타 피막처리업,도시지역/공업지역/전용공업지역
2586,(주)이노시스,이○○,부산시기계공업협동조,"부산광역시 강서구 화전산단6로 71, 2층 201-1호 (화전동)",051-710-2667,0505-282-2666,2021-04-23,2021-04-23,2021-04-28,2021-04-28,0,358.3,0,29271,반도체 제조용 기계 제조업,도시지역/공업지역/일반공업지역
2587,(주)이노아이티,권○○,해당없음,"부산광역시 해운대구 센텀서로 20, KNN아트센터 공장-1(우동)",051-945-8801,051-955-3800,2021-05-31,2021-08-18,2021-08-19,2021-08-19,0,675,1625,"28519, 27112, 62010, 70121",기타 가정용 전기기기 제조업 외 3종,도시지역/상업지역/일반상업지역
2588,(주)이노팍스  ,박○○○○,해당없음,부산광역시 기장군 장안읍 오리산단5로 66,051-817-5133,051-755-5133,2021-07-13,2021-07-13,2021-07-13,2022-11-03,3111.7,660,201,25932,일반철물 제조업,도시지역/공업지역/일반공업지역
2589,(주)이노필텍,김○○,해당없음,부산광역시 강서구 녹산산업북로 449(신호동),032-777-5005,032-777-6245,2022-11-15,2022-11-15,2023-06-13,2023-06-13,0,5446.74,264.1,29175,기체 여과기 제조업,도시지역/공업지역/일반공업지역
2590,(주)이닉스 부산1공장,강○○○○○○○,해당없음,부산광역시 기장군 장안읍 오리산단로 129,051-780-7800,051-780-8874,2021-12-13,2023-05-11,2023-05-11,2026-01-30,4408.1,2715.29,528.45,30399,그 외 자동차용 신품 부품 제조업,도시지역/공업지역/일반공업지역
2591,(주)이닉스 부산2공장,강○○○○○○○,해당없음,부산광역시 기장군 장안읍 오리산단로 123,051-780-7800,051-780-8874,2023-05-11,2023-05-11,2026-01-30,2026-01-30,4408.5,2475.64,0,30399,그 외 자동차용 신품 부품 제조업,도시지역/공업지역/일반공업지역
2592,(주)이대명과,김○○○○○○○,해당없음,부산광역시 금정구 금사로 144(금사동),051-524-3427,051-514-3427,2022-03-02,2022-03-02,2022-03-08,2022-03-08,1034.4,1408.15,1587.77,10603,과자류 및 코코아 제품 제조업,도시지역/공업지역/준공업지역
2593,(주)이든에프에이,김○○,해당없음,부산광역시 영도구 하나길 485(신선동2가),051-728-3995,050-4198-3995,미등록,미등록,2023-02-25,2023-02-25,60.73,50.73,10,29229,기타 가공 공작기계 제조업,도시지역/주거지역/제2종일반주거지역
2594,(주)이레씨앤피,장○○○○○○○,해당없음,부산광역시 사상구 가야대로 58(학장동),02-2266-2988,02-2266-2999,2022-03-08,2022-03-08,2022-03-10,2022-07-25,980.5,621.98,125,"25113, 25914",육상 금속 골조 구조재 제조업 외 1종,도시지역/공업지역/준공업지역
2595,(주)이레정보통신기술,이○○○○○○○,해당없음,"부산광역시 사하구 장평로15번길 3-1, 102호 (장림동)",070-4122-1439,0502-260-1439,미등록,미등록,2025-01-06,2025-08-20,198,178,20,"26421, 26519, 28423",방송장비 제조업 외 2종,도시지역/공업지역/준공업지역
2596,(주)이룸시트,이○○,해당없음,"부산광역시 금정구 공단로 60, 제1동(1~3층, 4층 일부), 제3동 1층(금사동)",070-4366-4410,070-8255-8089,2023-01-31,2023-01-31,2023-02-03,2026-05-22,3591.9,1616.3,1894.51,30393,자동차용 신품 의자 제조업,도시지역/공업지역/준공업지역
2597,(주)이맥스정보기술,여○○,부산벤처타워주식회사,"부산광역시 사상구 모라로 22, 8층 807호(부산벤처타워) (모라동)",051-609-9176,051-609-9177,2018-04-25,2022-09-08,2022-09-08,2022-09-08,20.8,104.09,0,"26121, 58222",발광 다이오드 제조업 외 1종,도시지역/주거지역/준주거지역
2598,(주)이모션세라믹 부산지점,소○○,해당없음,부산광역시 강서구 미음국제3로 101 (미음동),02-529-8364,미등록,2013-11-21,2013-11-21,2018-09-12,2018-09-12,8410,5803.2,565.28,31114,선박 구성 부분품 제조업,도시지역/공업지역/일반공업지역
2599,(주)이삭에프앤비,김○○,해당없음,부산광역시 기장군 일광면 횡계길 7 (해양생물산업육성센터),051-723-2293,051-938-0329,미등록,미등록,2008-08-21,2015-03-31,0,426.37,62.22,"10797, 10309",건강기능식품 제조업 외 1종,도시지역/공업지역/일반공업지역
2600,(주)이삭에프앤비   ,김○○,해당없음,부산광역시 기장군 장안읍 오리산단로 132,051-723-2293,051-938-0329,2020-02-10,미등록,2020-02-10,2026-05-18,9900,2915.65,1450.22,10897,건강기능식품 제조업,도시지역/공업지역/일반공업지역
2601,(주)이세이빙,안○○,해당없음,"부산광역시 사하구 다대로 626, 1층 (다대동)",051-612-0153,051-612-5153,미등록,미등록,2015-12-30,2015-12-30,290,170,120,28303,절연 코드세트 및 기타 도체 제조업,도시지역/주거지역/제2종일반주거지역
2602,(주)이송,이○○,(재)부산테크노파크 POST-BI 동,"부산광역시 강서구 과학산단1로60번길 31, 선도기업동 4층 401 (지사동)",051-832-1023,051-7978-8763,2013-12-30,미등록,2013-12-30,2017-03-06,0,127.16,57.5,"27215, 26421, 28422, 28429",기기용 자동측정 및 제어장치 제조업 외 3종,도시지역/공업지역/일반공업지역
2603,(주)이스젠,이○○,해당없음,"부산광역시 사상구 모덕로96번길 55, 3층 (덕포동)",032-811-9077,032-837-5733,미등록,미등록,2026-04-15,2026-06-22,675,300,30,"26410, 22191, 25200, 26429, 26519, 26529, 27213, 27309, 28111, 28119, 28121, 28201, 28202, 28302, 30310, 30332, 30391, 30399, 31910",유선 통신장비 제조업 외 18종,도시지역/공업지역/준공업지역
2604,(주)이승,최○○,해당없음,부산광역시 사하구 하신중앙로3번길 60-6 (장림동),051-263-5075,051-263-5077,2020-05-14,미등록,2020-06-02,2020-06-02,1334,609.42,242.03,"29177, 29171, 29172, 29173, 29174, 29176, 31114","증류기, 열교환기 및 가스발생기 제조업 외 6종",도시지역/공업지역/전용공업지역
2605,(주)이앤알,김○○,해당없음,부산광역시 강서구 녹산산단262로59번길 43 (송정동),051-831-9302,051-831-9966,2017-07-05,미등록,2017-07-11,2021-03-22,3736,2378.34,768.04,15110,모피 및 가죽 제조업,도시지역/공업지역/일반공업지역
2606,(주)이앤에프식품,김○○○,해당없음,부산광역시 기장군 정관읍 산단2로 16-30,051-728-4460,051-728-4468,2006-04-13,미등록,2011-03-02,2017-02-22,2735.4,1313.39,319.74,"10894, 52109",두부 및 유사식품 제조업 외 1종,도시지역/공업지역/일반공업지역
2607,(주)이에스씨,이○○,해당없음,"부산광역시 사상구 모라로110번길 73, 201호(모라동, 중소기업협업화공단)",미등록,0505-333-3070,미등록,미등록,2025-07-30,2025-07-30,1648.2,156.8,70,13229,기타 직물제품 제조업,도시지역/주거지역/제2종일반주거지역
